Zone;Box;pt0;pt1;pt2;pt3;pt4;pt5;pt6;pt7
Reservoir;Box_0 [m];0:0.67:0;0:0:0;0.41:0:0;0.41:0.67:0;0:0.67:0.4;0:0:0.4;0.41:0:0.4;0.41:0.67:0.4
Tank;Box_1 [m];0.5:0.67:0;0.5:0:0;0.9:0:0;0.9:0.67:0;0.5:0.67:0.4;0.5:0:0.4;0.9:0:0.4;0.9:0.67:0.4
World;Box_2 [m];Unknown...

Time [s];Nok_Reservoir;Nok_Tank;Nok_World;Nout_Reservoir;Nout_Tank;Nout_World;Input_Reservoir;Input_Tank;Input_World;Output_Reservoir;Output_Tank;Output_World;InVel_Reservoir [m/s];InVel_Tank [m/s];InVel_World [m/s];InVolume_Reservoir [m^3];InVolume_Tank [m^3];InVolume_World [m^3];InFlow_Reservoir [m^3/s];InFlow_Tank [m^3/s];InFlow_World [m^3/s];OutVolume_Reservoir [m^3];OutVolume_Tank [m^3];OutVolume_World [m^3];OutFlow_Reservoir [m^3/s];OutFlow_Tank [m^3/s];OutFlow_World [m^3/s]
0.460055;70440;33359;24511;0;0;0;0;1209;2021;1172;849;1209;0;1.08613;1.22085;0;0.000742477;0.00124115;0;0.0744189;0.124401;0.000719755;0.000521392;0.000742477;0.0721414;0.0522594;0.0744189
0.470079;69430;33657;25223;0;0;0;0;1145;1857;1010;847;1145;0;1.07154;1.23535;0;0.000703173;0.00114043;0;0.0701478;0.113768;0.000620266;0.000520164;0.000703173;0.0618771;0.051891;0.0701478
0.480019;68371;33907;26032;0;0;0;0;1101;1910;1059;851;1101;0;1.06106;1.21571;0;0.000676152;0.00117298;0;0.0680227;0.118005;0.000650358;0.00052262;0.000676152;0.0654279;0.0525771;0.0680227
0.490026;67296;34127;26887;0;0;0;0;1066;1921;1075;846;1066;0;1.05464;1.19416;0;0.000654657;0.00117973;0;0.0654197;0.11789;0.000660184;0.00051955;0.000654657;0.065972;0.0519184;0.0654197
0.500051;66263;34393;27654;0;0;0;0;1140;1907;1033;874;1140;0;1.04106;1.20048;0;0.000700103;0.00117114;0;0.0698367;0.116823;0.000634391;0.000536745;0.000700103;0.0632818;0.0535415;0.0698367
0.510031;65296;34614;28400;0;0;0;0;1071;1817;967;850;1071;0;1.04149;1.18498;0;0.000657728;0.00111587;0;0.065905;0.111811;0.000593859;0.000522006;0.000657728;0.0595052;0.0523055;0.065905
0.520034;64329;34844;29137;0;0;0;0;1084;1821;967;854;1084;0;1.02584;1.172;0;0.000665712;0.00111832;0;0.0665543;0.111804;0.000593859;0.000524463;0.000665712;0.0593709;0.052433;0.0665543
0.530035;63341;34997;29972;0;0;0;0;1028;1863;988;875;1028;0;1.01429;1.16715;0;0.000631321;0.00114411;0;0.0631225;0.114394;0.000606756;0.000537359;0.000631321;0.0606664;0.0537278;0.0631225
0.540025;62409;35179;30722;0;0;0;0;1049;1799;932;867;1049;0;1.00593;1.16032;0;0.000644217;0.00110481;0;0.0644842;0.110588;0.000572365;0.000532446;0.000644217;0.057292;0.0532963;0.0644842
0.550021;61466;35360;31484;0;0;0;0;1033;1795;943;852;1033;0;0.993917;1.14142;0;0.000634391;0.00110235;0;0.0634664;0.110283;0.00057912;0.000523235;0.000634391;0.0579369;0.052346;0.0634664
0.560039;60562;35498;32250;0;0;0;0;1028;1794;904;890;1028;0;0.985505;1.137;0;0.000631321;0.00110174;0;0.0630185;0.109976;0.000555169;0.000546571;0.000631321;0.055417;0.0545588;0.0630185
0.570038;59608;35630;33072;0;0;0;0;975;1797;954;843;975;0;0.971049;1.11654;0;0.000598772;0.00110358;0;0.0598809;0.110365;0.000585875;0.000517707;0.000598772;0.0585911;0.0517739;0.0598809
0.580021;58821;35723;33766;0;0;0;0;970;1664;787;877;970;0;0.96368;1.12129;0;0.000595701;0.0010219;0;0.0596774;0.102374;0.000483316;0.000538588;0.000595701;0.0484187;0.0539558;0.0596774
0.590068;57921;35770;34619;0;0;0;0;890;1743;900;843;890;0;0.955919;1.09158;0;0.000546571;0.00107042;0;0.0544005;0.106539;0.000552713;0.000517707;0.000546571;0.0550117;0.0515276;0.0544005
0.600039;57051;35842;35417;0;0;0;0;954;1752;870;882;954;0;0.941745;1.08567;0;0.000585875;0.00107595;0;0.0587537;0.1079;0.000534289;0.000541658;0.000585875;0.0535804;0.0543194;0.0587537
0.610024;56318;35901;36091;0;0;0;0;905;1579;733;846;905;0;0.931154;1.09764;0;0.000555783;0.000969703;0;0.0556646;0.0971209;0.000450154;0.00051955;0.000555783;0.0450853;0.0520356;0.0556646
0.62003;55473;36006;36831;0;0;0;0;955;1695;845;850;955;0;0.924971;1.05855;0;0.000586489;0.00104094;0;0.0586156;0.104035;0.000518936;0.000522006;0.000586489;0.051864;0.0521709;0.0586156
0.630065;54700;35932;37678;0;0;0;0;786;1633;773;860;786;0;0.911415;1.05589;0;0.000482702;0.00100287;0;0.0480998;0.0999325;0.000474719;0.000528148;0.000482702;0.0473042;0.0526282;0.0480998
0.640038;53970;35948;38392;0;0;0;0;884;1598;730;868;884;0;0.897944;1.05753;0;0.000542887;0.000981372;0;0.0544335;0.098399;0.000448311;0.000533061;0.000542887;0.0449508;0.0534483;0.0544335
0.650028;53179;35983;39148;0;0;0;0;868;1624;791;833;868;0;0.883037;1.01996;0;0.000533061;0.000997339;0;0.0533622;0.099839;0.000485773;0.000511566;0.000533061;0.0486285;0.0512105;0.0533622
0.660064;52481;35919;39910;0;0;0;0;770;1532;698;834;770;0;0.879721;1.02574;0;0.000472876;0.00094084;0;0.0471172;0.0937449;0.000428659;0.00051218;0.000472876;0.0427115;0.0510335;0.0471172
0.670028;51816;35930;40564;0;0;0;0;852;1506;665;841;852;0;0.876051;1.01807;0;0.000523235;0.000924872;0;0.0525106;0.0928181;0.000408393;0.000516479;0.000523235;0.0409854;0.0518327;0.0525106
0.680068;51072;35831;41407;0;0;0;0;726;1569;744;825;726;0;0.838308;0.990843;0;0.000445855;0.000963562;0;0.0444082;0.0959732;0.000456909;0.000506653;0.000445855;0.0455093;0.0504639;0.0444082
0.690082;50484;35873;41953;0;0;0;0;858;1404;588;816;858;0;0.846141;1.00646;0;0.000526919;0.000862232;0;0.0526211;0.0861073;0.000361106;0.000501126;0.000526919;0.036062;0.0500453;0.0526211
