Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
103;1.030048;810;  4.771929471346E+00;  2.857950286893E-02;  1.225505090502E-02;  4.772030789272E+00
104;1.040049;810;  4.779880222545E+00;  1.334497276453E-02;  1.126098462144E-02;  4.779912116341E+00
105;1.050014;810;  4.840752327756E+00;  9.952850848724E-03;  1.057974771464E-02;  4.840774120838E+00
106;1.060015;810;  4.835672166946E+00;  2.462705669112E-03;  1.021808939438E-02;  4.835683589777E+00
107;1.070013;810;  4.814666699604E+00; -6.502151690298E-03;  1.067435113119E-02;  4.814682922895E+00
108;1.080029;810;  4.647754049545E+00;  4.125966738803E-03;  1.012977205593E-02;  4.647766919817E+00
109;1.090039;810;  4.527740745927E+00;  1.520195422653E-02;  9.737689200943E-03;  4.527776737465E+00
110;1.100020;810;  4.543704262426E+00;  2.983058898123E-02;  7.700715886426E-03;  4.543808709602E+00
111;1.110014;810;  4.442112813354E+00;  4.921219685806E-02;  5.286639856379E-03;  4.442388550706E+00
112;1.120001;810;  4.308637650775E+00;  5.000974672414E-02;  5.011105633834E-03;  4.308930782877E+00
113;1.130013;810;  4.159358898575E+00;  4.225351766679E-02;  4.499763164004E-03;  4.159575946509E+00
114;1.140018;810;  3.927865664604E+00;  4.598237159033E-02;  3.445321472577E-03;  3.928136317379E+00
115;1.150063;810;  3.744247825451E+00;  5.465221670656E-02;  2.342527069233E-03;  3.744647397369E+00
116;1.160001;810;  3.625563466214E+00;  6.239493054543E-02;  1.585842744886E-03;  3.626100672872E+00
117;1.170002;810;  3.666038234147E+00;  6.911992719158E-02;  1.295232311915E-03;  3.666690002739E+00
118;1.180032;810;  3.653575315593E+00;  7.293200336424E-02;  1.057777283451E-03;  3.654303323852E+00
119;1.190066;810;  3.628625324866E+00;  7.141092657710E-02;  9.217096863337E-04;  3.629328053268E+00
120;1.200021;810;  3.554104290184E+00;  6.606211564088E-02;  2.996385618370E-04;  3.554718216457E+00
121;1.210032;810;  3.366726132658E+00;  5.366679128409E-02;  3.678979557153E-04;  3.367153859294E+00
122;1.220070;810;  3.165689820341E+00;  5.633670789036E-02;  2.316477847886E-04;  3.166191073976E+00
123;1.230050;810;  3.067114365949E+00;  6.094539363760E-02; -1.719598044171E-04;  3.067719821689E+00
124;1.240039;810;  3.055284627703E+00;  6.004549225422E-02; -1.775683016211E-04;  3.055874612766E+00
125;1.250046;810;  3.076487862451E+00;  6.623384383151E-02; -2.009275215471E-05;  3.077200755602E+00
126;1.260071;810;  3.083112739603E+00;  7.049574819214E-02;  3.008576519617E-04;  3.083918595899E+00
127;1.270038;810;  2.999574266692E+00;  6.471115272215E-02;  1.010272127406E-03;  3.000272376858E+00
128;1.280037;810;  2.847957993427E+00;  5.394197262412E-02;  1.812411760703E-03;  2.848469370306E+00
129;1.290008;810;  2.700251866294E+00;  4.324972146318E-02;  4.983849074655E-04;  2.700598253761E+00
130;1.300021;810;  2.617936579199E+00;  3.851353244297E-02; -7.330670835093E-04;  2.618219960637E+00
131;1.310033;810;  2.568877967113E+00;  4.030701642998E-02; -1.628541706490E-03;  2.569194682705E+00
132;1.320014;810;  2.565639291283E+00;  4.439528352219E-02; -2.576690225443E-03;  2.566024659567E+00
133;1.330017;810;  2.543329769675E+00;  5.491079761214E-02; -2.471621710518E-03;  2.543923666685E+00
134;1.340041;810;  2.469242509550E+00;  5.595675095241E-02; -2.202493431187E-03;  2.469877442288E+00
135;1.350011;810;  2.415897741579E+00;  4.719252640597E-02; -2.452894353131E-03;  2.416359875724E+00
136;1.360019;810;  2.394711963508E+00;  5.154395120058E-02; -2.736929948838E-03;  2.395268180780E+00
137;1.370075;810;  2.347032840918E+00;  6.598160800958E-02; -2.860427287149E-03;  2.347961863188E+00
138;1.380050;810;  2.335448512287E+00;  7.609878337916E-02; -3.543131868172E-03;  2.336690679606E+00
139;1.390027;810;  2.343242861863E+00;  7.889056110104E-02; -3.545668690684E-03;  2.344573181214E+00
140;1.400027;810;  2.293714755669E+00;  8.347026986044E-02; -2.717457188130E-03;  2.295234639617E+00
141;1.410041;810;  2.251722196257E+00;  8.453702479693E-02; -2.724909755638E-03;  2.253310183444E+00
142;1.420060;810;  2.244628832096E+00;  7.621326327859E-02; -3.298463262336E-03;  2.245924739442E+00
143;1.430065;810;  2.199095535100E+00;  6.417263613741E-02; -3.469654740500E-03;  2.200034394783E+00
144;1.440016;810;  2.119726475235E+00;  5.640807498376E-02; -3.864924876798E-03;  2.120480402734E+00
145;1.450030;810;  2.094739613364E+00;  5.623363539982E-02; -5.167471649497E-03;  2.095500649561E+00
146;1.460061;810;  2.113332568744E+00;  6.379207017917E-02; -5.851118487783E-03;  2.114303244551E+00
147;1.470006;810;  2.084305735184E+00;  7.182161958634E-02; -5.910232960106E-03;  2.085551167824E+00
148;1.480073;810;  2.036792968141E+00;  7.083374670692E-02; -5.402222411420E-03;  2.038031451855E+00
149;1.490044;810;  2.039475024169E+00;  6.345776425057E-02; -4.697617438567E-03;  2.040467429209E+00
150;1.500033;810;  2.063627677245E+00;  5.437896967193E-02; -4.197480618346E-03;  2.064348294614E+00
151;1.510083;810;  2.053305372044E+00;  3.992185423197E-02; -3.607447107855E-03;  2.053696598571E+00
152;1.520074;810;  2.002973615839E+00;  2.590463068125E-02; -2.610402573094E-03;  2.003142823126E+00
153;1.530011;810;  1.956991896243E+00;  3.102823636735E-02; -2.129306232998E-03;  1.957239016410E+00
154;1.540008;810;  1.967565438336E+00;  2.311049999214E-02; -1.273287165107E-03;  1.967701570514E+00
155;1.550027;810;  1.982769643562E+00; -2.024168270441E-03;  1.998751278199E-04;  1.982770686851E+00
156;1.560025;810;  1.980847552053E+00; -1.961007927513E-02;  1.870174651595E-03;  1.980945500824E+00
157;1.570022;810;  1.978180879191E+00; -1.692801104037E-02;  2.963708663480E-03;  1.978255527460E+00
158;1.580017;810;  1.978246784959E+00; -4.513665340612E-03;  4.090277075711E-03;  1.978256162821E+00
159;1.590026;810;  1.949101534292E+00; -7.570915628394E-03;  5.504574780488E-03;  1.949124010956E+00
160;1.600025;810;  1.914957364758E+00; -2.441114411320E-02;  6.942630366744E-03;  1.915125534505E+00
