Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
128;1.280037;39993;  2.690072631376E+01; -3.104088300989E+00; -5.496276191724E+02;  5.502942887197E+02
129;1.290008;39993;  2.796258812682E+01; -4.478400627929E-01; -5.538766330619E+02;  5.545822135153E+02
130;1.300021;39993;  3.037531376698E+01;  1.811138123245E+00; -5.594523179706E+02;  5.602792482240E+02
131;1.310033;39993;  3.261983076375E+01;  2.695972479401E+00; -5.636698069598E+02;  5.646193168010E+02
132;1.320014;39993;  3.363261260027E+01;  2.488873582099E+00; -5.638932054334E+02;  5.649007826654E+02
133;1.330017;39993;  3.197683596451E+01;  1.424098720471E+00; -5.611427018383E+02;  5.620548709173E+02
134;1.340041;39993;  2.881560386966E+01;  1.722112997699E-01; -5.578676513121E+02;  5.586113900231E+02
135;1.350011;39993;  2.596702284489E+01; -1.118133130487E+00; -5.565280867250E+02;  5.571346765468E+02
136;1.360019;39993;  2.403908136905E+01; -3.038137482539E+00; -5.564911005612E+02;  5.570183594068E+02
137;1.370075;39993;  2.338689087934E+01; -3.439194927237E+00; -5.562802363696E+02;  5.567822519640E+02
138;1.380050;39993;  2.401400763931E+01; -3.828644298989E+00; -5.551465558107E+02;  5.556788906451E+02
139;1.390027;39993;  2.559222782499E+01; -3.160567586410E+00; -5.538371026197E+02;  5.544370907062E+02
140;1.400027;39993;  2.700644411004E+01; -2.095220971702E+00; -5.553332888751E+02;  5.559935248789E+02
141;1.410041;39993;  2.718707668883E+01; -1.607748367036E+00; -5.573045730746E+02;  5.579696310405E+02
142;1.420060;39993;  2.579672561450E+01; -1.471186297852E+00; -5.590100341799E+02;  5.596068742925E+02
143;1.430065;39993;  2.389550750009E+01; -2.053655834965E+00; -5.590248775242E+02;  5.595391196975E+02
144;1.440016;39993;  2.229958525337E+01; -3.587500568395E+00; -5.570398950436E+02;  5.574976110558E+02
145;1.450030;39993;  2.160665071166E+01; -5.382243242172E+00; -5.529705073748E+02;  5.534186461654E+02
146;1.460061;39993;  2.173755055044E+01; -6.259572583493E+00; -5.494065214319E+02;  5.498720116034E+02
147;1.470006;39993;  2.238372065862E+01; -5.978870688070E+00; -5.492160688026E+02;  5.497045279750E+02
148;1.480073;39993;  2.285616470948E+01; -4.919675485008E+00; -5.520236250310E+02;  5.525184974863E+02
149;1.490044;39993;  2.259279527409E+01; -3.954311492473E+00; -5.543115974903E+02;  5.547859209550E+02
150;1.500033;39993;  2.200293381023E+01; -3.617961820048E+00; -5.553722412892E+02;  5.558197056048E+02
151;1.510083;39993;  2.132260985485E+01; -3.959381026199E+00; -5.537969237433E+02;  5.542214026331E+02
152;1.520074;39993;  2.103409117731E+01; -4.801167076969E+00; -5.504913321496E+02;  5.509139596787E+02
153;1.530011;39993;  2.078255265253E+01; -5.559469114205E+00; -5.479848153664E+02;  5.484069474977E+02
154;1.540008;39993;  2.037375051673E+01; -6.126221441783E+00; -5.477233267753E+02;  5.481363543800E+02
155;1.550027;39993;  1.992539502185E+01; -5.866794135452E+00; -5.492199488993E+02;  5.496125843802E+02
156;1.560025;39993;  1.954885587172E+01; -5.178210979193E+00; -5.506523342834E+02;  5.510235610994E+02
157;1.570022;39993;  1.938696811691E+01; -4.969140503498E+00; -5.507795432187E+02;  5.511430414314E+02
158;1.580017;39993;  1.945372011621E+01; -4.735364147317E+00; -5.497764142115E+02;  5.501408697082E+02
159;1.590026;39993;  1.954095381781E+01; -4.592744445710E+00; -5.482205008854E+02;  5.485878778908E+02
160;1.600025;39993;  1.939848335487E+01; -4.776058282232E+00; -5.467988341389E+02;  5.471636655562E+02
